iter	Passed	Remaining
400	12422	18556
401	12451	18522
402	12476	18483
403	12515	18463
404	12543	18428
405	12570	18390
406	12604	18364
407	12634	18331
408	12664	18300
409	12696	18270
410	12728	18240
411	12755	18204
412	12782	18167
413	12812	18135
414	12838	18097
415	12872	18071
416	12905	18042
417	12935	18010
418	12965	17978
419	13004	17958
420	13029	17919
421	13065	17895
422	13094	17861
423	13129	17835
424	13152	17794
425	13182	17762
426	13213	17731
427	13239	17694
428	13267	17658
429	13296	17625
430	13332	17601
431	13355	17559
432	13381	17523
433	13409	17488
434	13435	17450
435	13462	17415
436	13488	17377
437	13524	17353
438	13553	17320
439	13579	17282
440	13615	17259
441	13644	17225
442	13671	17189
443	13706	17163
444	13743	17141
445	13780	17117
446	13821	17099
447	13851	17067
448	13881	17035
449	13916	17008
450	13953	16985
451	13979	16948
452	14010	16918
453	14037	16882
454	14074	16858
455	14109	16832
456	14144	16806
457	14190	16792
458	14224	16765
459	14255	16734
460	14282	16699
461	14321	16677
462	14349	16642
463	14384	16616
464	14408	16578
465	14440	16547
466	14463	16507
467	14492	16474
468	14521	16441
469	14555	16413
470	14587	16383
471	14616	16350
472	14652	16324
473	14678	16289
474	14712	16260
475	14743	16230
476	14772	16197
477	14800	16163
478	14832	16133
479	14872	16111
480	14906	16084
481	14947	16064
482	14983	16038
483	15016	16009
484	15045	15975
485	15077	15945
486	15111	15918
487	15142	15886
488	15168	15850
489	15215	15836
490	15255	15814
491	15287	15784
492	15339	15775
493	15386	15760
494	15430	15741
495	15468	15718
496	15511	15698
497	15563	15688
498	15607	15670
499	15671	15671
500	15715	15653
501	15757	15631
502	15815	15626
503	15841	15589
504	15878	15563
505	15909	15532
506	15946	15505
507	15980	15476
508	16004	15438
509	16038	15409
510	16069	15377
511	16099	15344
512	16133	15315
513	16165	15285
514	16202	15258
515	16243	15235
516	16275	15205
517	16301	15168
518	16342	15145
519	16377	15118
520	16408	15085
521	16440	15054
522	16471	15022
523	16506	14994
524	16537	14962
525	16575	14937
526	16605	14903
527	16644	14878
528	16672	14844
529	16700	14809
530	16737	14783
531	16767	14750
532	16801	14720
533	16841	14697
534	16872	14664
535	16909	14638
536	16937	14603
537	16966	14569
538	17008	14546
539	17053	14527
540	17100	14508
541	17146	14489
542	17195	14471
543	17232	14444
544	17264	14413
545	17295	14381
546	17331	14353
547	17358	14317
548	17397	14292
549	17427	14258
550	17461	14229
551	17499	14202
552	17525	14166
553	17557	14134
554	17588	14102
555	17624	14074
556	17653	14040
557	17678	14003
558	17716	13977
559	17751	13947
560	17777	13911
561	17810	13881
562	17843	13849
563	17871	13815
564	17903	13784
565	17939	13755
566	17983	13733
567	18018	13703
568	18055	13676
569	18096	13651
570	18122	13616
571	18164	13591
572	18198	13561
573	18226	13527
574	18271	13505
575	18303	13473
576	18340	13445
577	18370	13412
578	18405	13383
579	18443	13355
580	18475	13323
581	18514	13297
582	18545	13265
583	18571	13229
584	18614	13205
585	18646	13173
586	18680	13142
587	18731	13125
588	18769	13097
589	18811	13072
590	18856	13049
591	18919	13038
592	19033	13063
593	19127	13073
594	19160	13041
595	19227	13033
596	19267	13006
597	19307	12979
598	19346	12951
599	19371	12914
600	19418	12892
601	19451	12860
602	19487	12829
603	19527	12802
604	19560	12770
605	19590	12737
606	19633	12711
607	19673	12684
608	19711	12655
609	19748	12626
610	19779	12593
611	19822	12567
612	19858	12537
613	19887	12502
614	19918	12469
615	19949	12435
616	19988	12407
617	20016	12372
618	20054	12343
619	20085	12310
620	20123	12281
621	20161	12252
622	20193	12220
623	20232	12191
624	20270	12162
625	20314	12136
626	20354	12108
627	20401	12084
628	20438	12055
629	20474	12024
630	20521	12000
631	20560	11971
632	20594	11940
633	20628	11908
634	20667	11879
635	20713	11854
636	20747	11823
637	20798	11801
638	20835	11771
639	20873	11741
640	20911	11711
641	20949	11682
642	20983	11650
643	21019	11619
644	21051	11586
645	21082	11553
646	21120	11523
647	21159	11494
648	21194	11462
649	21231	11432
650	21263	11399
651	21301	11369
652	21336	11338
653	21371	11306
654	21402	11272
655	21440	11243
656	21476	11212
657	21509	11179
658	21547	11149
659	21575	11114
660	21612	11084
661	21641	11049
662	21679	11019
663	21710	10985
664	21741	10952
665	21782	10923
666	21820	10893
667	21852	10860
668	21889	10830
669	21930	10801
670	21966	10770
671	21998	10737
672	22035	10706
673	22071	10675
674	22110	10645
675	22145	10614
676	22176	10580
677	22210	10548
678	22244	10515
679	22271	10480
680	22299	10445
681	22330	10412
682	22366	10380
683	22399	10348
684	22433	10316
685	22465	10283
686	22500	10251
687	22552	10227
688	22593	10198
689	22632	10168
690	22665	10135
691	22698	10102
692	22733	10071
693	22771	10040
694	22798	10004
695	22843	9977
696	22868	9941
697	22898	9907
698	22927	9873
699	22962	9841
700	22993	9807
701	23021	9772
702	23057	9741
703	23083	9705
704	23114	9671
705	23144	9637
706	23169	9601
707	23200	9568
708	23231	9535
709	23262	9501
710	23296	9469
711	23324	9434
712	23355	9401
713	23388	9368
714	23421	9335
715	23456	9304
716	23486	9270
717	23514	9235
718	23545	9201
719	23580	9170
720	23609	9136
721	23636	9100
722	23670	9068
723	23700	9035
724	23724	8999
725	23760	8967
726	23792	8934
727	23829	8903
728	23868	8873
729	23895	8837
730	23929	8805
731	23967	8774
732	23998	8741
733	24023	8706
734	24050	8671
735	24087	8640
736	24125	8609
737	24157	8576
738	24192	8544
739	24223	8510
740	24256	8478
741	24284	8444
742	24318	8411
743	24355	8380
744	24403	8352
745	24445	8323
746	24473	8288
747	24502	8255
748	24536	8222
749	24571	8190
750	24601	8156
751	24633	8123
752	24671	8092
753	24705	8060
754	24740	8028
755	24775	7996
756	24809	7963
757	24843	7931
758	24871	7897
